date,pm25,pm10,o3,no2,so2,co
9/2/2022,5,3,11,1,500,
9/1/2022,29,38,7,1,500,
8/31/2022,24,20,6,1,500,
8/30/2022,27,19,6,1,500,
8/29/2022,51,41,5,1,500,
8/28/2022,13,7,6,1,500,
8/27/2022,30,14,6,1,500,
8/26/2022,89,25,6,1,500,
8/25/2022,51,27,10,1,500,
8/24/2022,14,9,14,1,500,
8/23/2022,29,34,9,1,500,
8/22/2022,73,3,8,1,500,
8/21/2022,13,38,7,1,500,
8/20/2022,50,26,7,1,500,
8/19/2022,31,16,11,1,500,
8/18/2022,50,9,9,1,500,
8/17/2022,34,43,7,1,500,
8/16/2022,86,20,8,1,500,
8/15/2022,6,5,9,1,500,
8/14/2022,27,13,9,1,500,
8/13/2022,81,31,6,1,500,
8/12/2022,34,40,7,1,500,
8/11/2022,38,8,8,1,500,
8/10/2022,46,30,7,1,500,
8/9/2022,30,11,11,1,500,
8/8/2022,65,7,10,1,500,
8/7/2022,34,3,8,1,500,
8/6/2022,18,6,6,1,500,
8/5/2022,39,19,8,1,500,
8/4/2022,44,30,11,1,500,
8/3/2022,5,3,11,1,500,
8/2/2022,58,17,8,1,500,
8/1/2022,40,34,11,1,500,
7/31/2022,29,60,12,1,500,
7/30/2022,23,30,9,1,500,
7/29/2022,34,3,7,1,500,
7/28/2022,5,6,9,1,500,
7/27/2022,36,32,6,1,500,
7/26/2022,73,31,9,1,500,
7/25/2022,46,31,6,1,500,
7/24/2022,43,30,8,1,500,
7/23/2022,25,31,9,1,500,
7/22/2022,29,29,8,1,500,
7/21/2022,41,31,8,1,500,
7/20/2022,23,3,6,1,500,
7/19/2022,74,18,8,1,500,
7/18/2022,49,15,9,1,500,
7/17/2022,19,16,8,1,500,
7/16/2022,34,18,6,1,500,
7/15/2022,42,38,5,1,500,
7/14/2022,38,39,4,1,500,
7/13/2022,28,3,5,1,500,
7/12/2022,25,30,18,1,500,
7/11/2022,16,21,24,1,500,
7/10/2022,47,21,23,1,500,
7/9/2022,111,13,21,1,500,
