date,pm25,pm10,o3,no2,so2,co
5/12/2023,21,9,1,14,4,8
5/11/2023,28,20,1,14,2,9
5/10/2023,48,18,1,14,5,7
5/9/2023,45,32,18,14,15,8
5/8/2023,22,29,5,14,26,9
5/7/2023,49,15,10,14,25,8
5/6/2023,44,31,3,14,24,6
5/5/2023,49,28,15,14,25,7
5/4/2023,30,31,33,14,24,6
5/3/2023,41,19,16,14,25,6
5/2/2023,47,29,24,14,25,7
5/1/2023,33,33,9,14,25,8
4/30/2023,20,23,18,14,25,8
4/29/2023,25,15,18,14,26,8
4/28/2023,61,17,1,14,24,8
4/27/2023,71,42,26,14,25,8
4/26/2023,37,43,12,14,27,10
4/25/2023,29,24,11,14,27,10
4/24/2023,60,19,13,14,25,8
4/23/2023,70,39,1,14,24,7
4/22/2023,98,45,45,14,24,7
4/21/2023,111,58,1,14,23,8
4/20/2023,103,62,21,14,23,11
4/19/2023,95,59,30,14,23,10
4/18/2023,80,56,28,14,23,10
4/17/2023,105,50,12,14,23,9
4/16/2023,79,59,12,14,24,10
4/15/2023,64,51,1,14,23,11
4/14/2023,56,42,30,14,24,11
4/13/2023,69,38,35,14,24,8
4/12/2023,95,47,17,14,24,8
4/11/2023,74,67,17,14,23,12
4/10/2023,88,45,12,14,23,11
4/9/2023,90,53,12,14,23,11
4/8/2023,87,55,17,14,24,9
4/7/2023,59,54,22,14,24,10
4/6/2023,113,37,26,14,24,9
4/5/2023,121,61,33,14,23,8
4/4/2023,113,65,16,14,22,8
4/3/2023,87,63,12,14,22,7
4/2/2023,94,52,32,14,22,7
4/1/2023,102,56,1,15,23,11
3/31/2023,124,61,15,14,27,12
3/30/2023,62,69,34,14,25,13
3/29/2023,69,40,8,14,24,11
3/28/2023,60,44,28,14,23,10
3/27/2023,39,40,12,14,23,10
3/26/2023,43,26,14,14,23,11
3/25/2023,90,29,10,14,24,10
3/24/2023,144,55,25,14,23,8
3/23/2023,145,76,7,14,23,8
3/22/2023,153,78,42,14,23,8
3/21/2023,141,85,25,14,23,8
3/20/2023,87,80,14,14,22,7
3/19/2023,84,54,13,14,23,7
3/18/2023,85,53,1,14,23,7
3/17/2023,90,53,23,14,22,7
3/16/2023,96,55,15,14,23,7
3/15/2023,148,57,39,14,22,8
3/14/2023,125,88,11,14,22,9
3/13/2023,62,73,10,14,22,10
3/12/2023,135,43,16,14,21,9
3/11/2023,123,73,10,15,21,7
3/10/2023,60,69,15,14,6,7
3/9/2023,21,37,10,14,12,10
3/8/2023,18,12,1,14,17,1
3/7/2023,19,10,12,14,22,7
3/6/2023,51,10,34,11,6,5
3/5/2023,17,31,3,1,13,4
3/4/2023,52,2,8,1,14,3
3/3/2023,110,55,13,6,10,5
3/2/2023,44,5,17,5,18,8
3/1/2023,62,35,4,8,1,1
2/28/2023,1,1,31,1,25,4
2/27/2023,61,43,5,12,9,3
2/26/2023,39,53,23,5,25,6
2/25/2023,75,49,7,5,1,10
2/24/2023,95,1,13,1,20,7
2/23/2023,78,37,25,4,1,1
2/22/2023,72,29,16,1,11,2
2/21/2023,100,1,33,1,15,9
2/20/2023,1,1,22,5,7,5
2/19/2023,61,22,8,1,10,6
2/18/2023,32,1,45,3,12,2
2/17/2023,27,49,17,8,5,2
2/16/2023,19,44,30,1,1,4
2/15/2023,27,13,5,3,11,7
2/14/2023,13,8,17,9,15,3
2/13/2023,1,29,17,13,1,5
2/12/2023,37,20,9,10,9,7
2/11/2023,69,20,10,1,9,4
2/10/2023,10,30,5,13,12,9
2/9/2023,29,25,12,8,7,4
2/8/2023,92,13,1,4,2,5
2/7/2023,53,47,16,2,22,1
2/6/2023,55,22,4,18,9,1
2/5/2023,1,35,34,4,5,2
2/4/2023,20,17,19,1,1,3
2/3/2023,1,34,13,1,12,3
2/2/2023,57,39,25,1,9,2
2/1/2023,108,7,9,10,1,7
1/31/2023,1,7,26,1,10,3
1/30/2023,17,22,20,10,8,1
1/29/2023,33,1,23,3,12,4
1/28/2023,33,49,14,12,8,4
1/27/2023,46,1,4,1,16,2
1/26/2023,54,5,27,1,2,5
1/25/2023,110,24,22,1,12,2
1/24/2023,24,1,9,8,9,1
1/23/2023,35,24,6,4,13,1
1/22/2023,55,29,4,14,11,3
1/21/2023,16,28,16,17,14,2
1/20/2023,64,26,11,1,9,4
1/19/2023,38,48,13,8,14,5
1/18/2023,40,49,3,1,8,2
1/17/2023,55,55,5,6,7,10
1/16/2023,1,1,26,1,3,3
1/15/2023,62,9,5,10,10,10
1/14/2023,39,12,8,1,3,5
1/13/2023,43,28,15,1,2,1
1/12/2023,13,39,8,14,1,6
1/11/2023,24,1,6,1,6,6
1/10/2023,71,1,4,16,13,1
1/9/2023,33,28,4,1,10,5
1/8/2023,41,13,18,1,14,1
1/7/2023,15,49,4,1,3,2
1/6/2023,1,28,11,1,11,3
1/5/2023,30,40,21,7,1,5
1/4/2023,24,51,10,1,22,3
1/3/2023,109,36,4,11,4,2
1/2/2023,25,37,30,1,24,4
1/1/2023,13,29,20,7,3,6
12/31/2022,23,1,3,1,8,7
12/30/2022,37,37,3,2,1,2
12/29/2022,61,5,3,1,15,5
12/28/2022,9,4,9,4,11,2
12/27/2022,58,23,19,1,1,1
12/26/2022,11,1,1,4,13,5
12/25/2022,12,9,30,5,8,1
12/24/2022,112,1,15,1,15,1
12/23/2022,28,17,22,1,11,6
12/22/2022,27,1,29,14,1,6
12/21/2022,111,18,13,7,8,3
12/20/2022,24,13,2,1,6,7
12/19/2022,63,1,18,12,7,1
12/18/2022,12,1,11,1,8,1
12/17/2022,64,43,21,1,10,3
12/16/2022,81,40,13,14,1,8
12/15/2022,49,18,26,1,2,10
12/14/2022,59,12,9,7,1,6
12/13/2022,38,31,17,1,8,5
12/12/2022,55,25,7,1,22,5
12/11/2022,32,18,3,1,15,3
12/10/2022,51,61,3,5,4,5
12/9/2022,33,23,3,1,13,3
12/8/2022,55,35,3,19,12,2
12/7/2022,17,42,3,1,4,4
12/6/2022,22,9,9,19,18,1
12/5/2022,65,5,3,13,1,4
12/4/2022,104,37,4,12,9,1
12/3/2022,19,16,6,1,6,2
12/2/2022,32,12,4,17,7,3
12/1/2022,87,1,3,6,2,3
11/30/2022,7,1,8,5,21,1
11/29/2022,1,34,11,15,22,4
11/28/2022,79,8,10,11,14,2
11/27/2022,22,1,9,12,20,3
11/26/2022,101,15,5,1,3,2
11/25/2022,1,33,5,5,8,5
11/24/2022,18,9,4,1,13,10
11/23/2022,15,21,9,9,1,10
11/22/2022,84,4,12,1,15,1
11/21/2022,19,30,16,1,16,1
11/20/2022,73,1,10,6,1,8
11/19/2022,1,6,7,7,11,3
11/18/2022,46,1,12,8,16,1
11/17/2022,45,9,10,13,2,5
11/16/2022,18,22,13,2,10,1
11/15/2022,66,12,5,7,10,4
11/14/2022,1,26,6,1,7,5
